NCT Number,Study Title,Study URL,Acronym,Study Status,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT02620995,Effects of Sildenafil on Penile Vascular Function in Hypertensive Men With Erectile Dysfunction,https://clinicaltrials.gov/study/NCT02620995,,COMPLETED,NO,Arterial Hypertension|Erectile Dysfunction,DRUG: sildenafil citrate|OTHER: comparator group,"Penile microvascular vasodilatory capacity, at the end of a 30-day treatment","Blood pressure levels evaluated using ambulatory blood pressure monitoring, at the end of a 30-day treatment",,"National Institute of Cardiology, Laranjeiras, Brazil",,MALE,"ADULT, OLDER_ADULT",PHASE4,50,OTHER_GOV,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",CAAE 17663813.4.0000.5272,2014-10,2018-01,2018-01,2015-12-03,,2018-03-06,"National Institute of Cardiology, Ministry of Health, Brazil, Rio de Janeiro, 22240-006, Brazil",
NCT01230762,An Open-Label Study of the Long-Term Safety of Dapoxetine HCl in the Treatment of Rapid Ejaculation,https://clinicaltrials.gov/study/NCT01230762,,COMPLETED,NO,Ejaculation|Erectile Dysfunction|Sexual Dysfunction,DRUG: dapoxetine,"Adverse events reported, Up to 9 months|Results from physical examinations, Months 3 and 9 or termination visit|Results from vital signs measurements, Months 1, 2 and 6|Results from clinical laboratory tests, Months 1, 3, and 9 or termination visit|Results from ECGs, At the 3 month visit and the 9 month visit/Termination Visit","Results from patient reported outcomes (PRO) for perception of sexual functioning, During use of dapoxetine for up to 9 months",,"Alza Corporation, DE, USA",,MALE,"ADULT, OLDER_ADULT",PHASE3,1774,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,CR005041|C-2002-014,,,2005-04,2010-10-29,,2011-05-19,,
NCT04361305,Observational Study of Pharmacological Treatment for Premature Ejaculation Concurrent With Erectile Dysfunction,https://clinicaltrials.gov/study/NCT04361305,,UNKNOWN,NO,Premature Ejaculation|Erectile Dysfunction,DRUG: Dapoxetine|DRUG: Tadalafil|DRUG: Tadalafil,"The change of Premature Ejaculation Profile (PEP) at week 8, The PEP is a 4-question PRO that asks a respondent about his subjective sense of control over ejaculation, distress related to PE, interpersonal difficulty and satisfaction with sexual intercourse., Baseline, Week 8|The change of International Index of Erectile Function -5(IIEF-5) at week 8, Baseline, Week 8","Incidence of adverse reactions, To observe the safety of the two regiments in PE concurrent with ED patients, Baseline, Week 8|The change of Erection Hardness Score (EHS), Erection Hardness Score as a self-reporting measure that scored erection hardness on a 4 point scale. The aim was to help men, their partners and doctors diagnose erectile dysfunction., Baseline, Week 8|Clinical Global Impression of Change (GICC), Clinical Global Impression is a 7 point scale that requires the clinician to assess how much the patient's illness has improved or worsened relative to a baseline state at the beginning of the intervention., Baseline, Week 8",,Yan-Ping Huang,,MALE,ADULT,PHASE3,150,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,0412,2020-06-03,2021-01-11,2021-04-01,2020-04-24,,2020-04-24,,
NCT00517179,Effect of Vardenafil on Blood Pressure in Patients With Erectile Dysfunction Who Received Concomitant Doxazosin GITS,https://clinicaltrials.gov/study/NCT00517179,,COMPLETED,NO,Prostatic Hyperplasia|Impotence,DRUG: Vardenafil 10mg,"Mean maximal change of the standing systolic blood pressure (SBP) from half hour prior to till six hour after administration of the drug (baseline) with vardenafil administration versus placebo, From half hour prior to till six hour after administration of the drug (baseline)","Mean maximal post-baseline change of the standing and supine diastolic blood pressure (DBP), From half hour prior to till six hour after administration of the drug (baseline)|Mean maximal post-baseline change supine SBP, and (3) the pattern of changes of the SBP and DBP from half hour prior to till six hours after administration of the drug, From half hour prior to till six hour after administration of the drug (baseline)",,"Hospital Authority, Hong Kong",,MALE,"ADULT, OLDER_ADULT",NA,40,OTHER_GOV,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE|Primary Purpose: TREATMENT,CRE-2006.017-T|HARECCTR0500057,2006-04,,2007-05,2007-08-16,,2011-06-16,"Prince of Wales Hospital, Hong Kong, China",
NCT00555087,Treatment of Erectile Dysfunction in Hypogonadal Men With Testosterone Undecanoate,https://clinicaltrials.gov/study/NCT00555087,Nebidolocal,UNKNOWN,NO,Erectile Dysfunction|Hypogonadotrophic Males,DRUG: Testosterone Undecanoate and/or PDE-5,"Score higher than or equal to 21 of the erectile dysfunction domain of the IIEF, or response to treatment, 42 weeks|and/or an affirmative response to the GAQ will be considered for the analysis, 10 months",,,Hospital Santa Fe,Bayer,MALE,"ADULT, OLDER_ADULT",PHASE4,50,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2006/1084,2007-05,,2008-01,2007-11-07,,2007-11-07,"Hospital Santa Fe, Mexico city, D.f., 06700, Mexico|Hospital General de Occidente, Guadalajara, Jalisco, 045040, Mexico|Hospital General de Occidente, Guadalajara, Jalisco, 44690, Mexico|Hospital Universitario de Nuevo León, Monterrey, Nuevo León, 64460, Mexico",
NCT01912586,Early Intervention for Erectile Dysfunction After Laparoscopic Resection for Rectal Cancer,https://clinicaltrials.gov/study/NCT01912586,,COMPLETED,NO,Rectal Tumors|Erectile Dysfunction,OTHER: vacuum erection device,"Changes in sexual function based on the (IIEF)-5 score and NPT, Summarized according to assigned treatment group. Erectile Dysfunction is defined by The International Index of Erectile Dysfunction(IIEF)-5 score and Nocturnal penile tumescence(NPT)., 3 months|Changes in sexual function based on the (IIEF)-5 score and NPT, Summarized according to assigned treatment group. Erectile Dysfunction is defined by The International Index of Erectile Dysfunction(IIEF)-5 score and Nocturnal penile tumescence(NPT)., 6 months|Changes in sexual function based on the (IIEF)-5 score and NPT, Summarized according to assigned treatment group. Erectile Dysfunction is defined by The International Index of Erectile Dysfunction(IIEF)-5 score and Nocturnal penile tumescence(NPT)., 12 months","Compliance and overall patient satisfaction based on the self reported compliance diary and IIEF-5 score and NPT, Summarized according to assigned treatment group., 12 months",,"Nanfang Hospital, Southern Medical University",,MALE,"ADULT, OLDER_ADULT",PHASE4,90,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,NanFang2013035,2013-05,2014-12,2015-06,2013-07-31,,2015-06-18,"Department of General Surgery, Nanfang Hospital of Southern Medical University, Guangzhou, Guangdong, 510515, China",
NCT03355963,Intracavernosal Injection of Botulinum Toxin Type A (50 and 100 Unit) in the Treatment of Erectile Dysfunction,https://clinicaltrials.gov/study/NCT03355963,,COMPLETED,NO,Erectile Dysfunction|Botulinum Toxin,OTHER: saline injection|BIOLOGICAL: Botulinum toxin type A 50 units|BIOLOGICAL: Botulinum toxin type A 100 units,"Erectile Function (EF) domain score of the International Index of Erectile Function (IIEF), Changes in the Erectile Function (EF) domain score of the International Index of Erectile Function (IIEF) between treatment periods and baseline in different study arms. the score as follow:

\> 7 severe dysfunction 7-12 Moderate dysfunction

13-18 Mild to moderate dysfunction

19-24 Mild dysfunction

25-30 No dysfunction, pre-treatment and 2 weeks after treatment also, 3 and 6 months after treatment|the Sexual Event Profile (SEP) scores, Changes in the Sexual Event Profile (SEP) scores between treatment periods and baseline in different study arms by a \<yes or no\> response ., baseline, 2 weeks post treatment , 3, and 6 months post treatment|Global Assessment Questionnaire (GAQ) scores, Changes in the Global Assessment Questionnaire (GAQ) scores between treatment periods in different study arms by a \<yes or no\> response, baseline, 2 weeks post treatment , 3, and 6 months post treatment|Cavernosal artery peak systolic and end diastolic velocities, Change in Peak systolic velocity in the Cavernosal arteries, on color Doppler examination, in the patient and control groups., baseline, 2 weeks post treatment , 3, and 6 months post treatment",,,Benha University,Cairo University,MALE,"ADULT, OLDER_ADULT",PHASE2,200,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",19-09-2016,2016-07-12,2019-01-25,2019-02-20,2017-11-29,,2019-11-26,,
NCT06521710,Nerve Grafting Technique to Preserve Erectile Function in Patients Undergoing Robotic Assisted Radical Prostatectomy,https://clinicaltrials.gov/study/NCT06521710,NR-RALP,RECRUITING,NO,Prostate Cancer|Erectile Dysfunction,PROCEDURE: Intraoperative Somatic-Autonomic Nerve Grafting,"Adverse events measured by the Clavian-Dindo classification, The primary outcome is specifically the safety of the operation measured by adverse events as defined by the Clavian-Dindo classification. The measurement varies from Grade I (Best possible outcome) to Grade V (Worst possible outcome).

Grade I Deviation from normal p/o course. No pharmacological or surgical treatment, endoscopic or radiological interventions were required. Acceptable therapeutic drugs such as anti-emetics, antipyretics, analgesics, diuretics,electrolytes, physiotherapy. Wound infections, small abscess requiring incision at bedside.

Grade II Normal course altered. Pharmacological management other than in Grade I. Blood transfusions and total parenteral nutrition are also included.

Grade III Complications that require intervention of various degrees. Grade IV Complications threatening life of patients (including Central Nervous System complications), requiring Intensive Treatment Unit support.

Grade V Death of a patient., Through study completion, an average of 18 months","International Index of Erectile Function-5 (IIEF-5), The IIEF-5 is used to determine the prevalence of erectile dysfunction (ED) in a non-selected population using the abridged 5-item version of the International Index of Erectile Function (IIEF-5) as a diagnostic tool.

Each answer has a score from 1 (very low) to 5 (very high). The sum of all the answers gives a final result of 1-7 (Severe ED - Worst Outcome), 8-11 (Moderate ED), 12-16 (Mild-moderate ED), 17-21 (Mild ED) and 22-25 (No ED - Best Outcome)., Screening pre-NR-RALP procedure|International Index of Erectile Function-5 (IIEF-5), The IIEF-5 is used to determine the prevalence of erectile dysfunction (ED) in a non-selected population using the abridged 5-item version of the International Index of Erectile Function (IIEF-5) as a diagnostic tool.

Each answer has a score from 1 (very low) to 5 (very high). The sum of all the answers gives a final result of 1-7 (Severe ED - Worst Outcome), 8-11 (Moderate ED), 12-16 (Mild-moderate ED), 17-21 (Mild ED) and 22-25 (No ED - Best Outcome)., 4-6 weeks post-NR-RALP procedure|International Index of Erectile Function-5 (IIEF-5), The IIEF-5 is used to determine the prevalence of erectile dysfunction (ED) in a non-selected population using the abridged 5-item version of the International Index of Erectile Function (IIEF-5) as a diagnostic tool.

Each answer has a score from 1 (very low) to 5 (very high). The sum of all the answers gives a final result of 1-7 (Severe ED - Worst Outcome), 8-11 (Moderate ED), 12-16 (Mild-moderate ED), 17-21 (Mild ED) and 22-25 (No ED - Best Outcome)., 3 months post-NR-RALP procedure|International Index of Erectile Function-5 (IIEF-5), The IIEF-5 is used to determine the prevalence of erectile dysfunction (ED) in a non-selected population using the abridged 5-item version of the International Index of Erectile Function (IIEF-5) as a diagnostic tool.

Each answer has a score from 1 (very low) to 5 (very high). The sum of all the answers gives a final result of 1-7 (Severe ED - Worst Outcome), 8-11 (Moderate ED), 12-16 (Mild-moderate ED), 17-21 (Mild ED) and 22-25 (No ED - Best Outcome)., 6 months post-NR-RALP procedure|International Index of Erectile Function-5 (IIEF-5), The IIEF-5 is used to determine the prevalence of erectile dysfunction (ED) in a non-selected population using the abridged 5-item version of the International Index of Erectile Function (IIEF-5) as a diagnostic tool.

Each answer has a score from 1 (very low) to 5 (very high). The sum of all the answers gives a final result of 1-7 (Severe ED - Worst Outcome), 8-11 (Moderate ED), 12-16 (Mild-moderate ED), 17-21 (Mild ED) and 22-25 (No ED - Best Outcome)., 12 months post-NR-RALP procedure|International Index of Erectile Function-5 (IIEF-5), The IIEF-5 is used to determine the prevalence of erectile dysfunction (ED) in a non-selected population using the abridged 5-item version of the International Index of Erectile Function (IIEF-5) as a diagnostic tool.

Each answer has a score from 1 (very low) to 5 (very high). The sum of all the answers gives a final result of 1-7 (Severe ED - Worst Outcome), 8-11 (Moderate ED), 12-16 (Mild-moderate ED), 17-21 (Mild ED) and 22-25 (No ED - Best Outcome)., 18 months post-NR-RALP procedure|Short Form McGill Pain Questionnaire (SF-MPQ), The SF-MPQ was designed to measure post-surgical pain. The main component of the SF-MPQ consists of 15 descriptors (11 sensory; 4 affective) which are rated on an intensity scale as 0 = none, 1 = mild, 2 = moderate or 3 = severe. Three pain scores are derived from the sum of the intensity rank values of the words chosen for sensory, affective and total descriptors.

The sum of the scores gives a range of outcomes; a score of 0 (no pain - Best Possible Outcome) to a score of 45 (Most severe pain - Worst Possible Outcome), Screening pre-NR-RALP procedure|Short Form McGill Pain Questionnaire (SF-MPQ), The SF-MPQ was designed to measure post-surgical pain. The main component of the SF-MPQ consists of 15 descriptors (11 sensory; 4 affective) which are rated on an intensity scale as 0 = none, 1 = mild, 2 = moderate or 3 = severe. Three pain scores are derived from the sum of the intensity rank values of the words chosen for sensory, affective and total descriptors.

The sum of the scores gives a range of outcomes; a score of 0 (no pain - Best Possible Outcome) to a score of 45 (Most severe pain - Worst Possible Outcome), 4-6 weeks post-NR-RALP procedure|Short Form McGill Pain Questionnaire (SF-MPQ), The SF-MPQ was designed to measure post-surgical pain. The main component of the SF-MPQ consists of 15 descriptors (11 sensory; 4 affective) which are rated on an intensity scale as 0 = none, 1 = mild, 2 = moderate or 3 = severe. Three pain scores are derived from the sum of the intensity rank values of the words chosen for sensory, affective and total descriptors.

The sum of the scores gives a range of outcomes; a score of 0 (no pain - Best Possible Outcome) to a score of 45 (Most severe pain - Worst Possible Outcome), 3 months post-NR-RALP procedure|Short Form McGill Pain Questionnaire (SF-MPQ), The SF-MPQ was designed to measure post-surgical pain. The main component of the SF-MPQ consists of 15 descriptors (11 sensory; 4 affective) which are rated on an intensity scale as 0 = none, 1 = mild, 2 = moderate or 3 = severe. Three pain scores are derived from the sum of the intensity rank values of the words chosen for sensory, affective and total descriptors.

The sum of the scores gives a range of outcomes; a score of 0 (no pain - Best Possible Outcome) to a score of 45 (Most severe pain - Worst Possible Outcome), 6 months post-NR-RALP procedure|Short Form McGill Pain Questionnaire (SF-MPQ), The SF-MPQ was designed to measure post-surgical pain. The main component of the SF-MPQ consists of 15 descriptors (11 sensory; 4 affective) which are rated on an intensity scale as 0 = none, 1 = mild, 2 = moderate or 3 = severe. Three pain scores are derived from the sum of the intensity rank values of the words chosen for sensory, affective and total descriptors.

The sum of the scores gives a range of outcomes; a score of 0 (no pain - Best Possible Outcome) to a score of 45 (Most severe pain - Worst Possible Outcome), 12 months post-NR-RALP procedure|Short Form McGill Pain Questionnaire (SF-MPQ), The SF-MPQ was designed to measure post-surgical pain. The main component of the SF-MPQ consists of 15 descriptors (11 sensory; 4 affective) which are rated on an intensity scale as 0 = none, 1 = mild, 2 = moderate or 3 = severe. Three pain scores are derived from the sum of the intensity rank values of the words chosen for sensory, affective and total descriptors.

The sum of the scores gives a range of outcomes; a score of 0 (no pain - Best Possible Outcome) to a score of 45 (Most severe pain - Worst Possible Outcome), 18 months post-NR-RALP procedure",,Sir Mortimer B. Davis - Jewish General Hospital,,MALE,"ADULT, OLDER_ADULT",NA,10,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2024-4129,2024-09,2027-09,2027-12,2024-07-26,,2024-09-19,"Jewish General Hospital, CIUSSS Centre-Ouest de l&#39;île de Montréal, Montreal, Quebec, H3T 1E2, Canada|Jewish General Hospital, Montréal, Quebec, H3T 1E2, Canada",
NCT01089387,Intracavernous Bone Marrow Stem-cell Injection for Post Prostatectomy Erectile Dysfunction,https://clinicaltrials.gov/study/NCT01089387,INSTIN,COMPLETED,NO,Prostate Cancer|Erectile Dysfunction,BIOLOGICAL: injection of bone marrow mononucleated cells,"Absence of serious adverse event (general or local), Side effects envisaged: priapism, local inflammation after cell injection, 6 months","Recovery of natural erection, improvement of penile doppler parameters, Evaluation of erectile recovery using validated quesitonnaires (IIEF15, EHS, UCLA-PCI), 6 month",,"Institut National de la Santé Et de la Recherche Médicale, France",,MALE,"ADULT, OLDER_ADULT",PHASE1|PHASE2,18,OTHER_GOV,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,BT06-07|2008-A01248-47,2010-05,2012-05,2015-03,2010-03-18,,2016-11-18,"CHU Henri Mondor-Albert Chenevier-Centre Intercommunal de Créteil, Créteil, 94101, France",
NCT00134329,Erectile Dysfunction and Diabetes Mellitus,https://clinicaltrials.gov/study/NCT00134329,,COMPLETED,NO,Diabetes Mellitus|Erectile Dysfunction,PROCEDURE: Filling out a questionnaire on the possible occurrence of erectile dysfunction,Documentation of the prevalence of erectile dysfunction in the diabetic convention|Increase the awareness of diabetologist for erectile dysfunction|Relation of erectile dysfunction with metabolic parameters|Relation of erectile dysfunction with sex steroids,"Adjustment of the systematic follow-up of diabetic complications.|Optimalisation of the healthcare for diabetic patients, so that the quality of life for male diabetic patients can be improved",,"University Hospital, Ghent",,MALE,"ADULT, OLDER_ADULT",,300,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2005/096,2005-05,,2007-03,2005-08-24,,2007-12-28,"University Hospital Ghent, Ghent, 9000, Belgium",
NCT02225548,Sagene 2014 - Parkinson's Disease and Erectile Dysfunction,https://clinicaltrials.gov/study/NCT02225548,,UNKNOWN,NO,Parkinson's Disease|Erectile Dysfunction,DRUG: Selegiline|DRUG: Tadalafil,"Changes in International Index of Erectile Function-5 (IIEF-5) score between baseline (Week 8) to end-of-study (Week 16)., The International Index of Erectile Function (IIEF) is a widely used, multi-dimensional self-report instrument for the evaluation of male sexual function., The IIEF-5 will be administered at Weeks 4, 8, 12 and 16 of the study.",,,University of South Florida,,MALE,ADULT,PHASE4,10,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,Sagene 2014,2014-09,2018-12,2019-01,2014-08-26,,2017-12-20,"University of South Florida, Tampa, Florida, 33612, United States",
NCT00738400,Study of Vardenafil in Patients Suffering From Erectile Dysfunction and Metabolic Syndrome,https://clinicaltrials.gov/study/NCT00738400,,COMPLETED,YES,Erectile Dysfunction|Metabolic Syndrome,"DRUG: Vardenafil (Levitra, BAY38-9456)|DRUG: Placebo","Change From Baseline in International Index of Erectile Function - Erectile Function Domain (IIEF-EF) Subscore at Week 8 or Last Observation Carried Forward (LOCF), The primary variable was the least square (LS)-mean difference between treatment groups in the IIEF-EF domain score (6-30 ordinal points, specifying the severity of erectile dysfunction: 6-10 'severe'; 11-16 'moderate'; 17-21 'mild to moderate'; 22-25 'mild'; 26-30 'no erectile dysfunction \[ED\]'). The target variable is the LS-mean difference between treatment groups at endpoint. The LS-means of both treatment groups are derived from a baseline-adjusted endpoint measure (week 8/last observation carried forward \[LOCF\]) as calculated via an ANCOVA., baseline and up to 8 weeks or LOCF|Change in Percentage From Baseline in Success of Penetration (SEP2: Sexual Encounter Profile Question 2) at Week 8, Percent successful penetrations were calculated per participant as the number of successful sexual attempts (penetrations) divided by the total number of attempts. The mean percent successful penetrations was then calculated across all participants., Baseline and 8 weeks|Change in Percentage From Baseline in Success of Erection Maintenance (SEP3: Sexual Encounter Profile Question 3) at Week 8, Percent successful maintenance of erection were calculated per participant as the number of successful attempts (maintenance of erection) divided by the total number of attempts. The mean percent successful maintenance of erection was then calculated across all participants., Baseline and 8 weeks","Percentage of Participants Achieving ""Back to Normal"" Erectile Function at Week 8 or Last Observation Carried Forward (LOCF), Responders: percentage of participants achieving an IIEF-EF score \>25.(IIEF-EF domain score: 6-30 ordinal points, specifying the severity of erectile dysfunction: 6-10 'severe'; 11-16 'moderate'; 17-21 'mild to moderate'; 22-25 'mild'; 26-30 'no ED'), up to 8 weeks or LOCF|Change in Percentage From Baseline in Ability to Obtain an Erection (SEP1) at Week 8, Percent successful erections were calculated per participant as the number of successful attempts (achievement of erection) divided by the total number of attempts. The mean percent successful erections was then calculated across all participants., Baseline and 8 weeks|Change in Percentage From Baseline in Ability to Ejaculate (SEP6) at Week 8, Percent successful ejaculations were calculated per participant as the number of successful attempts (achievement of ejaculation) divided by the total number of attempts. The mean percent successful ejaculations was then calculated across all participants., Baseline and 8 weeks|Number of Participants Who Can Stay on the Initially Provided Dosage of Vardenafil (10 mg PRN (Pro re Nata)), Number of participants with no recorded titration of Vardenafil after visit 3., week 4 and week 8",,Bayer,,MALE,ADULT,PHASE4,150,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",13171|2008-002140-41|ED-METABOLIC,2008-11,2009-10,2009-10,2008-08-20,2011-06-01,2015-11-16,"Cham, Bayern, 93413, Germany|Regensburg, Bayern, 93055, Germany|Frankfurt, Hessen, 60385, Germany|Marburg, Hessen, 35039, Germany|Stuhr, Niedersachsen, 28816, Germany|Bonn, Nordrhein-Westfalen, 53119, Germany|Grevenbroich, Nordrhein-Westfalen, 41515, Germany|Leverkusen, Nordrhein-Westfalen, 51373, Germany|Mülheim, Nordrhein-Westfalen, 45468, Germany|Wuppertal, Nordrhein-Westfalen, 42103, Germany|Dierdorf, Rheinland-Pfalz, 56269, Germany|Koblenz, Rheinland-Pfalz, 56068, Germany|Trier, Rheinland-Pfalz, 54290, Germany|Homburg, Saarland, 66424, Germany|Dresden, Sachsen, 01307, Germany|Leipzig, Sachsen, 04109, Germany|Berlin, 12107, Germany|Berlin, 14197, Germany|Hamburg, 20354, Germany",
NCT01660152,Vacuum Erection Device in Improving Recovery of Erectile Function in Patients With Prostate Cancer Undergoing Surgery,https://clinicaltrials.gov/study/NCT01660152,,COMPLETED,NO,Male Erectile Disorder|Prostate Cancer|Sexual Dysfunction,OTHER: Sexual Health Inventory for Men (SHIM) questionnaire administration|PROCEDURE: management of therapy complications|PROCEDURE: Daily vacuum therapy,"Changes in sexual function based on the self reported SHIM assessment and penile morphometric outcomes based on penile dimension measurements at rest, Summarized according to assigned treatment group. Linear mixed models will be used to model the changes over time., 3 months post-surgery|Changes in sexual function based on the self reported SHIM assessment and penile morphometric outcomes based on penile dimension measurements at rest, Summarized according to assigned treatment group. Linear mixed models will be used to model the changes over time., 6 months post-surgery|Changes in sexual function based on the self reported SHIM assessment and penile morphometric outcomes based on penile dimension measurements at rest, Summarized according to assigned treatment group. Linear mixed models will be used to model the changes over time., 12 months post-surgery","Compliance and overall patient satisfaction (1 to 25 point scale) based on the self reported compliance diary and SHIM questionnaires, Summarized according to assigned treatment group., Up to 12 months post-surgery",,Ohio State University Comprehensive Cancer Center,,MALE,"CHILD, ADULT, OLDER_ADULT",NA,2,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,OSU-11019|NCI-2012-00997,2011-09,2013-07-17,2013-07-17,2012-08-08,,2017-04-13,"Ohio State University Medical Center, Columbus, Ohio, 43210, United States",
NCT03406169,Erectile Recovery After Robotic-Assisted Laparoscopic Prostatectomy,https://clinicaltrials.gov/study/NCT03406169,,UNKNOWN,NO,Erectile Dysfunction|Prostate Cancer,DRUG: Sildenafil 25 MG Oral Tablet|DRUG: Pentoxifylline|OTHER: Placebo,"Erectile function, As measured by IIEF, 12 months post surgery","Penile length, Stretched length in cm from pubis to coronal ridge, 12 months post surgery",,Brooke Army Medical Center,Walter Reed National Military Medical Center,MALE,"ADULT, OLDER_ADULT",PHASE3,180,FED,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",C.2017.001,2017-02-13,2021-12,2022-03,2018-01-23,,2018-01-23,"Brooke Army Medical Center, San Antonio, Texas, 78234, United States",
NCT01084187,Correlation Study of Vascular Parameters in Hypertensive Men With Erectile Dysfunction,https://clinicaltrials.gov/study/NCT01084187,,COMPLETED,NO,Erectile Dysfunction|Arterial Hypertension|Endothelial Dysfunction,DRUG: Vardenafil,"clinical response to vardenafil, SEP 2; SEP 3 and IIEF variation, four weeks","endothelial dysfunction, variation of FMD of brachial artery from baseline, four weeks",,Hospital Universitario Pedro Ernesto,,MALE,"ADULT, OLDER_ADULT",PHASE4,100,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",EDAH2010,2010-01,2010-12,2011-02,2010-03-10,,2011-04-18,"Hospital Universitário Pedro Ernesto, Rio de Janeiro, 20551030, Brazil",
NCT03143790,Ekstracorporal Shock Wave Therapy as a Treatment for Erectile Dysfunction in Men After Prostatectomy,https://clinicaltrials.gov/study/NCT03143790,ESWT,SUSPENDED,NO,Erectile Function,PROCEDURE: Extracorporeal Shockwave Terapy,"IIEF-5 point, Change in IIEF-5 point, 1, 3 and 6 months",,,Odense University Hospital,,MALE,"ADULT, OLDER_ADULT",NA,18,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",OUHL14.1,2014-08,2018-08,2018-12,2017-05-08,,2017-05-08,"OUH, Odense, 5000, Denmark",
NCT00122499,A Study to Assess the Efficacy of Tadalafil to Treat Erectile Dysfunction After Radiotherapy of Prostate Cancer,https://clinicaltrials.gov/study/NCT00122499,,COMPLETED,NO,Prostate Cancer|Erectile Dysfunction,DRUG: tadalafil,"To evaluate the efficacy of 20 mg tadalafil, in comparison with placebo, in men with ED after 3-D conformal radiotherapy (3DCRT) of prostate cancer","Responses to the Global Assessment Questions (GAQ), and the other items of the Sexual Encounter Profile (SEP) and International Index of Erectile Function (IIEF)|To assess the side effects of 20 mg tadalafil in men with ED after 3DCRT",,Erasmus Medical Center,,MALE,"ADULT, OLDER_ADULT",PHASE3,,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE|Primary Purpose: TREATMENT,232.476/2003/180,2003-02,,2005-02,2005-07-22,,2005-07-27,"Erasmus MC, Rotterdam, 3008 AE, Netherlands",
